UserID,Amount,IncomeDate,Description
1,4500,2026-05-01,Monthly Salary
2,150,2026-05-02,Sold old bicycle on Craigslist
3,3200,2026-05-03,Freelance Web Development
4,85.5,2026-05-04,Cash back reward from credit card
5,5000,2026-05-05,Consulting Retainer
6,1200,2026-05-06,Quarterly Dividend Payout
7,4100,2026-05-07,Office Salary
8,300,2026-05-08,Garage Sale profits
9,2100,2026-05-09,Part-time Math Tutoring
10,600,2026-05-10,Weekend Photography Gig
11,4500,2026-05-11,Monthly Salary
12,125,2026-05-12,Sold old clothes on Depop
13,8500,2026-05-13,Project Milestone Payment
14,50,2026-05-14,Online Survey Reward
15,3400,2026-05-15,Marketing Agency Salary
16,200,2026-05-16,Babysitting for neighbors
17,7500,2026-05-17,Software Contract Work
18,45,2026-05-18,Utility rebate check
19,5200,2026-05-19,Monthly Salary
20,950,2026-05-20,Etsy Shop Sales
1,300,2026-05-21,Dog walking via Rover
2,4800,2026-05-22,Project Manager Salary
3,1500,2026-05-23,Performance Bonus
4,250,2026-05-24,Uber driving weekend
5,4000,2026-05-25,Legal Retainer fee
6,110,2026-05-26,Sold college textbooks
7,4100,2026-05-27,App development freelance
8,350,2026-05-28,Weekend catering gig
9,2100,2026-05-29,Academic Tutoring
10,650,2026-05-30,Wedding photography deposit
11,4500,2026-06-01,Monthly Salary
12,130,2026-06-02,Sold sneakers online
13,8500,2026-06-03,Final app project payment
14,60,2026-06-04,Cashback from groceries
15,3400,2026-06-05,Office Salary
16,220,2026-06-06,Pet sitting for a week
17,7500,2026-06-07,IT Contract Work
18,55,2026-06-08,Mail-in rebate
19,5200,2026-06-09,Monthly Salary
20,1050,2026-06-10,Online store payout
1,4500,2026-06-11,Monthly Salary
2,160,2026-06-12,Flea market profit
3,3200,2026-06-13,Freelance graphic design
4,90,2026-06-14,Credit card sign-up bonus
5,5000,2026-06-15,Business Consulting
6,1250,2026-06-16,Stock dividends payout
7,4100,2026-06-17,Salary
8,310,2026-06-18,Yard sale earnings
9,2100,2026-06-19,Language tutoring
10,620,2026-06-20,Event photography full payment
