UserID,CategoryID,Amount,ExpenseDate,Description
1,1,12.5,2026-05-01,Iced Latte and pastry 
2,2,35,2026-05-02,Lyft ride to the airport
3,3,85,2026-05-03,Monthly water bill  
4,4,15.99,2026-05-04,Spotify Family plan  
5,5,45,2026-05-05,Pharmacy vitamins   
6,6,120,2026-05-06,New running shoes  
7,7,65,2026-05-07,Haircut and styling  
8,1,45,2026-05-08,Sushi takeout   
9,2,28,2026-05-09,Gas station refill  
10,3,150,2026-05-10,Internet and cable bill 
11,4,25,2026-05-11,Cinema ticket and popcorn 
12,5,200,2026-05-12,Dentist copay   
13,6,89.99,2026-05-13,Video game preorder  
14,7,30,2026-05-14,Skincare products   
15,1,85,2026-05-15,Steak dinner with friends 
16,2,12.5,2026-05-16,Bus pass recharge  
17,3,65,2026-05-17,Trash collection fee  
18,4,55,2026-05-18,Concert ticket   
19,5,80,2026-05-19,Gym monthly membership  
20,6,45,2026-05-20,Basic white tees  
1,2,42,2026-05-21,Uber home from party 
2,3,110,2026-05-22,Heating bill   
3,4,14.99,2026-05-23,Netflix premium   
4,5,25,2026-05-24,Protein powder   
5,6,210,2026-05-25,Designer sunglasses   
6,7,40,2026-05-26,Manicure    
7,1,18.5,2026-05-27,Burger and fries  
8,2,50,2026-05-28,Train ticket   
9,3,95,2026-05-29,Phone bill   
10,4,60,2026-05-30,Board game purchase  
11,5,150,2026-05-31,Eye exam   
12,6,35,2026-06-01,Book from local store 
13,7,22,2026-06-02,Shaving cream and razors 
14,1,55,2026-06-03,Grocery shopping at Trader Joes
15,2,30,2026-06-04,Parking garage fee  
16,3,130,2026-06-05,Electric bill   
17,4,12,2026-06-06,Museum entry fee  
18,5,18,2026-06-07,Yoga class drop-in  
19,6,75,2026-06-08,Winter jacket on sale 
20,7,50,2026-06-09,Massage therapy   
1,3,45,2026-06-10,Gas bill   
2,4,19.99,2026-06-11,Game subscription   
3,5,12,2026-06-12,Cough syrup   
4,6,115,2026-06-13,Birthday gift for sister 
5,7,85,2026-06-14,High-end face serum  
6,1,32,2026-06-15,Thai food delivery  
7,2,15,2026-06-16,City bike rental  
8,3,70,2026-06-17,Internet plan upgrade  
9,4,40,2026-06-18,Bowling night   
10,5,220,2026-06-19,Annual checkup fee  
